source,metric,percentile,value
synthetic,instances_per_image,0,0.0
synthetic,instances_per_image,5,0.0
synthetic,instances_per_image,25,1.0
synthetic,instances_per_image,50,2.0
synthetic,instances_per_image,75,3.0
synthetic,instances_per_image,90,5.0
synthetic,instances_per_image,95,5.0
synthetic,instances_per_image,99,6.509999999999998
synthetic,instances_per_image,100,7.0
synthetic,bbox_area,1,0.001189240783749999
synthetic,bbox_area,5,0.005458863524999994
synthetic,bbox_area,25,0.014755254882749999
synthetic,bbox_area,50,0.0325679732665
synthetic,bbox_area,75,0.057365473144499995
synthetic,bbox_area,90,0.09233459838899999
synthetic,bbox_area,95,0.11907501446524998
synthetic,bbox_area,99,0.18697358349600002
synthetic,aspect_ratio,5,0.411726687977923
synthetic,aspect_ratio,25,1.0141127218857935
synthetic,aspect_ratio,50,1.2790472437601463
synthetic,aspect_ratio,75,1.4857197192184473
synthetic,aspect_ratio,95,1.8281069334061504
real,instances_per_image,0,0.0
real,instances_per_image,5,0.0
real,instances_per_image,25,2.0
real,instances_per_image,50,3.0
real,instances_per_image,75,5.0
real,instances_per_image,90,6.0
real,instances_per_image,95,7.0
real,instances_per_image,99,8.809999999999945
real,instances_per_image,100,16.0
real,bbox_area,1,0.002614918989699792
real,bbox_area,5,0.004621957309419693
real,bbox_area,25,0.01212890625
real,bbox_area,50,0.023006863104248047
real,bbox_area,75,0.0446930083252127
real,bbox_area,90,0.07380810056478766
real,bbox_area,95,0.09442652857738078
real,bbox_area,99,0.14858433209053504
real,aspect_ratio,5,0.23721311134174153
real,aspect_ratio,25,0.3858260108994894
real,aspect_ratio,50,0.4866307627165696
real,aspect_ratio,75,0.6299642369126672
real,aspect_ratio,95,0.9181894929324365
